DEPARTAMENTO,PROVINCIA,DISTRITO,ANIO,MES,TIPO_PRUEBA,CANTIDAD_PRUEBAS,Departamento_idx,Provincia_idx,Distrito_idx,TipoPrueba_idx,prediction
AMAZONAS,BAGUA,BAGUA,2021,12,PR,3,14.0,57.0,135.0,0.0,25.708261903302628
AMAZONAS,BAGUA,BAGUA,2021,12,PCR,128,14.0,57.0,135.0,2.0,36.16458615097508
AMAZONAS,BAGUA,COPALLIN,2020,4,PCR,1,14.0,57.0,386.0,2.0,110.22511749541445
AMAZONAS,BAGUA,COPALLIN,2020,5,PR,2,14.0,57.0,386.0,0.0,93.10705259173119
AMAZONAS,BAGUA,COPALLIN,2020,6,PR,10,14.0,57.0,386.0,0.0,86.44531193570583
AMAZONAS,BAGUA,COPALLIN,2020,6,PCR,3,14.0,57.0,386.0,2.0,96.90163618337829
AMAZONAS,BAGUA,COPALLIN,2020,7,PCR,8,14.0,57.0,386.0,2.0,90.23989552735293
AMAZONAS,BAGUA,COPALLIN,2020,7,PR,13,14.0,57.0,386.0,0.0,79.78357127968047
AMAZONAS,BAGUA,COPALLIN,2020,8,PR,12,14.0,57.0,386.0,0.0,73.12183062366967
AMAZONAS,BAGUA,COPALLIN,2020,8,PCR,9,14.0,57.0,386.0,2.0,83.57815487134212
AMAZONAS,BAGUA,COPALLIN,2020,9,PR,12,14.0,57.0,386.0,0.0,66.46008996764431
AMAZONAS,BAGUA,COPALLIN,2020,9,PCR,2,14.0,57.0,386.0,2.0,76.91641421531676
AMAZONAS,BAGUA,COPALLIN,2020,10,PCR,9,14.0,57.0,386.0,2.0,70.2546735592914
AMAZONAS,BAGUA,COPALLIN,2020,10,PR,2,14.0,57.0,386.0,0.0,59.79834931161895
AMAZONAS,BAGUA,COPALLIN,2020,11,PCR,7,14.0,57.0,386.0,2.0,63.5929329032806
AMAZONAS,BAGUA,COPALLIN,2020,12,PR,4,14.0,57.0,386.0,0.0,46.474867999582784
AMAZONAS,BAGUA,COPALLIN,2021,1,PR,16,14.0,57.0,386.0,0.0,74.26039163117821
AMAZONAS,BAGUA,COPALLIN,2021,1,PCR,7,14.0,57.0,386.0,2.0,84.71671587885066
AMAZONAS,BAGUA,COPALLIN,2021,2,PR,3,14.0,57.0,386.0,0.0,67.5986509751674
AMAZONAS,BAGUA,COPALLIN,2021,2,AG,5,14.0,57.0,386.0,1.0,72.82681309900363
AMAZONAS,BAGUA,COPALLIN,2021,3,AG,8,14.0,57.0,386.0,1.0,66.16507244297827
AMAZONAS,BAGUA,COPALLIN,2021,4,AG,97,14.0,57.0,386.0,1.0,59.50333178695291
AMAZONAS,BAGUA,COPALLIN,2021,4,PCR,1,14.0,57.0,386.0,2.0,64.73149391078914
AMAZONAS,BAGUA,COPALLIN,2021,5,AG,21,14.0,57.0,386.0,1.0,52.841591130942106
AMAZONAS,BAGUA,COPALLIN,2021,6,AG,26,14.0,57.0,386.0,1.0,46.17985047491675
AMAZONAS,BAGUA,COPALLIN,2021,6,PR,3,14.0,57.0,386.0,0.0,40.95168835108052
AMAZONAS,BAGUA,COPALLIN,2021,7,AG,3,14.0,57.0,386.0,1.0,39.51810981889139
AMAZONAS,BAGUA,COPALLIN,2021,7,PR,1,14.0,57.0,386.0,0.0,34.28994769505516
AMAZONAS,BAGUA,COPALLIN,2021,8,PR,1,14.0,57.0,386.0,0.0,27.628207039044355
AMAZONAS,BAGUA,COPALLIN,2021,8,AG,1,14.0,57.0,386.0,1.0,32.85636916288058
AMAZONAS,BAGUA,COPALLIN,2021,9,PCR,2,14.0,57.0,386.0,2.0,31.422790630691452
AMAZONAS,BAGUA,COPALLIN,2021,9,AG,7,14.0,57.0,386.0,1.0,26.194628506855224
AMAZONAS,BAGUA,COPALLIN,2021,10,AG,2,14.0,57.0,386.0,1.0,19.532887850829866
AMAZONAS,BAGUA,COPALLIN,2021,11,AG,2,14.0,57.0,386.0,1.0,12.87114719481906
AMAZONAS,BAGUA,COPALLIN,2021,11,PCR,3,14.0,57.0,386.0,2.0,18.099309318655287
AMAZONAS,BAGUA,COPALLIN,2021,12,AG,14,14.0,57.0,386.0,1.0,6.209406538793701
AMAZONAS,BAGUA,EL PARCO,2020,4,PR,1,14.0,57.0,606.0,0.0,78.09571019021678
AMAZONAS,BAGUA,EL PARCO,2020,6,PR,7,14.0,57.0,606.0,0.0,64.77222887818061
AMAZONAS,BAGUA,EL PARCO,2020,7,PCR,1,14.0,57.0,606.0,2.0,68.56681246982771
AMAZONAS,BAGUA,EL PARCO,2020,7,PR,21,14.0,57.0,606.0,0.0,58.110488222155254
AMAZONAS,BAGUA,EL PARCO,2020,8,PR,22,14.0,57.0,606.0,0.0,51.44874756614445
AMAZONAS,BAGUA,EL PARCO,2020,8,PCR,3,14.0,57.0,606.0,2.0,61.9050718138169
AMAZONAS,BAGUA,EL PARCO,2020,9,PCR,3,14.0,57.0,606.0,2.0,55.243331157791545
AMAZONAS,BAGUA,EL PARCO,2020,9,PR,10,14.0,57.0,606.0,0.0,44.78700691011909
AMAZONAS,BAGUA,EL PARCO,2020,10,PR,5,14.0,57.0,606.0,0.0,38.12526625409373
AMAZONAS,BAGUA,EL PARCO,2020,11,PR,1,14.0,57.0,606.0,0.0,31.463525598082924
AMAZONAS,BAGUA,EL PARCO,2020,12,PR,4,14.0,57.0,606.0,0.0,24.801784942057566
AMAZONAS,BAGUA,EL PARCO,2021,1,PR,3,14.0,57.0,606.0,0.0,52.58730857365299
AMAZONAS,BAGUA,EL PARCO,2021,2,AG,1,14.0,57.0,606.0,1.0,51.15373004147841
AMAZONAS,BAGUA,EL PARCO,2021,3,PR,3,14.0,57.0,606.0,0.0,39.263827261616825
AMAZONAS,BAGUA,EL PARCO,2021,3,AG,4,14.0,57.0,606.0,1.0,44.49198938545305
AMAZONAS,BAGUA,EL PARCO,2021,4,AG,9,14.0,57.0,606.0,1.0,37.830248729427694
AMAZONAS,BAGUA,EL PARCO,2021,5,AG,11,14.0,57.0,606.0,1.0,31.168508073416888
AMAZONAS,BAGUA,EL PARCO,2021,6,AG,6,14.0,57.0,606.0,1.0,24.50676741739153
AMAZONAS,BAGUA,EL PARCO,2021,6,PR,1,14.0,57.0,606.0,0.0,19.2786052935553
AMAZONAS,BAGUA,EL PARCO,2021,7,AG,3,14.0,57.0,606.0,1.0,17.84502676136617
AMAZONAS,BAGUA,EL PARCO,2021,8,PR,1,14.0,57.0,606.0,0.0,5.955123981519137
AMAZONAS,BAGUA,EL PARCO,2021,8,AG,1,14.0,57.0,606.0,1.0,11.183286105355364
AMAZONAS,BAGUA,EL PARCO,2021,9,PR,1,14.0,57.0,606.0,0.0,-0.7066166745062219
AMAZONAS,BAGUA,EL PARCO,2021,10,AG,1,14.0,57.0,606.0,1.0,-2.1401952066953527
AMAZONAS,BAGUA,EL PARCO,2021,11,AG,3,14.0,57.0,606.0,1.0,-8.80193586270616
AMAZONAS,BAGUA,EL PARCO,2021,12,AG,5,14.0,57.0,606.0,1.0,-15.463676518731518
AMAZONAS,BAGUA,IMAZA,2020,4,PR,2,14.0,57.0,266.0,0.0,111.59047491547244
AMAZONAS,BAGUA,IMAZA,2020,5,PR,8,14.0,57.0,266.0,0.0,104.92873425946163
AMAZONAS,BAGUA,IMAZA,2020,5,PCR,3,14.0,57.0,266.0,2.0,115.38505850713409
AMAZONAS,BAGUA,IMAZA,2020,6,PR,125,14.0,57.0,266.0,0.0,98.26699360343628
AMAZONAS,BAGUA,IMAZA,2020,6,PCR,43,14.0,57.0,266.0,2.0,108.72331785110873
AMAZONAS,BAGUA,IMAZA,2020,7,PR,551,14.0,57.0,266.0,0.0,91.60525294741092
AMAZONAS,BAGUA,IMAZA,2020,7,PCR,2,14.0,57.0,266.0,2.0,102.06157719508337
AMAZONAS,BAGUA,IMAZA,2020,8,PR,464,14.0,57.0,266.0,0.0,84.94351229140011
AMAZONAS,BAGUA,IMAZA,2020,9,PCR,4,14.0,57.0,266.0,2.0,88.73809588304721
AMAZONAS,BAGUA,IMAZA,2020,9,PR,410,14.0,57.0,266.0,0.0,78.28177163537475
AMAZONAS,BAGUA,IMAZA,2020,10,PR,263,14.0,57.0,266.0,0.0,71.6200309793494
AMAZONAS,BAGUA,IMAZA,2020,11,PR,192,14.0,57.0,266.0,0.0,64.95829032333859
AMAZONAS,BAGUA,IMAZA,2020,12,PR,61,14.0,57.0,266.0,0.0,58.29654966731323
AMAZONAS,BAGUA,IMAZA,2021,1,PR,17,14.0,57.0,266.0,0.0,86.08207329890865
AMAZONAS,BAGUA,IMAZA,2021,1,AG,1,14.0,57.0,266.0,1.0,91.31023542274488
AMAZONAS,BAGUA,IMAZA,2021,2,PR,7,14.0,57.0,266.0,0.0,79.42033264289785
AMAZONAS,BAGUA,IMAZA,2021,2,AG,3,14.0,57.0,266.0,1.0,84.64849476673407
AMAZONAS,BAGUA,IMAZA,2021,2,PCR,1,14.0,57.0,266.0,2.0,89.8766568905703
